paper,date,page,chunk_idx,similarity,matched_query,event_type,description,location,participants,date_mentioned,source_text
cleveland-gazette,1919-07-05,1,5,0.619,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The N.A.A.C.P.'s Tenth Annual Conference held mass meetings in Cleveland and Oberlin where delegates adopted a platform demanding equal rights, fair trials, voting rights, education access, and protection against lynching.","Cleveland and Oberlin, Ohio","N.A.A.C.P. delegates and friends (1,500 at evening meeting), speakers including Dr. W.E.B. DuBois, John R. Shilady, and others","1919-06-25 to 1919-07-03 (conference week, article published July 5, 1919)","WILL EDWIN SMITH ..

TOO HIGH SALARIES

Being Paid Certain Officers Of The N. A. A. C. P.

The Membership and Results Donot Justify It
—Tenth Annual Conference Demands
Equal Rights and Attacks
Lynching

Delegates of the N. A. A. C. P. meeting in Cleveland, last week, spent Wednesday in Oberlin. Speakers at the mass meeting in the afternoon in Finney chapel of Oberlin college were I. W. Metcalf; Oberlin college trustee; G. Frederick Wright, professor of the college; sheriff Phillip H. Phillips, p"
chicago-whip,1919-10-11,1,0,0.608,speakers denounced the lynching and called for federal legislation to stop mob rule,petition,"The Chicago Whip calls on readers to write senators and representatives to support a Congressional resolution investigating race riots, mob violence, and lynching.",United States (national action),"African American citizens, NAACP members, readers of the Chicago Whip",1919-09-22 (resolution introduced); 1919-10-11 (publication date),"MOB RUNS WILD IN GEORGIA

WRITE SENATORS AND REPRESENTATIVES AT ONCE!

For News That Is Reliable, Read ""THE WHIP""

VOL. 1.—No. 16.

MOB

WRITE SENAT
REPRESENT
AT ON

A resolution was introduced in Congress on September 22nd 1919, by Senator Charles Curtis of Kansas, providing for Congressional investigation of race riots, mob violence and lynching throughout the country. The resolution provided that a subcommittee of the Senate Committee of the Judiciary not only investigate the recent riots in "
omaha-monitor,1919-02-15,1,2,0.603,national association made public telegrams sent to governors with reference to lynchings,petition,"Colored people attending an annual race conference in Columbia, S.C. petitioned the general assembly of South Carolina to match $100,000 in subscriptions for a memorial to Colored soldiers killed in the war.","Columbia, South Carolina",Colored people attending annual race conference,1919-02-10,"Columbia, S. C., Feb. 10.—Colored people attending an annual race conference here petitioned the general assembly of South Carolina to duplicate subscriptions of $100,000 by Negroes with which they propose to erect a memorial to Colored soldiers killed in the war.

ROEENWALD GIVES $25,000
FOR COLUMBUS Y. M. C. A.

Columbus, O.—Announcement is made that Julius Rosenwald, Chicago philanthropist has given $25,000 to complete a Y. M. C. A. building for our people in this city. L. Wilbur Messer (whit"
new-york-age,1923-01-20,1,2,0.603,first national conference on lynching examining causes and demanding federal action,delegation,Harvard graduates met with University President Lowell at the Harvard Club to discuss concerns about the university's racial policies and admission practices.,"Harvard Club, 27 West 44th street, Manhattan","President Lowell and prominent Harvard graduates, including some who had signed a memorial in June",1923-01-20,"Shall Harvard Be Less Humane?

""The differences in racial excellence consists in the comparative numbers of individuals to be found in the higher reaches of the vast curve upward of human quality and serviceability. And to assess the relative values of the several stocks of mankind en masse is, one must concede, an exceedingly delicate and diffuse, indeed perilous task.

""Who shall describe a Straus, a Thunkett or a Douglass because of his race? The particular individual may be a personality of "
metropolis-weekly-gazette,1922-03-03,1,7,0.599,speakers denounced the lynching and called for federal legislation to stop mob rule,mass_meeting,Tennessee white women gathered at McKendree church in Nashville to organize against mob violence and lawlessness.,"Nashville, Tennessee",Representative Tennessee women from all sections of the state,"February 22, 1922","It seems not to have occurred to the appoletic Post-Dispatch that any county can be wholly free of danger of such a penalty by not permitting mob murders within its boundaries.

Only a few sections of the country are marked by frequent lynchings. These permit the law to be flaunted and only sharp penalizing of their course will cause regard for law to succeed the rule of passion.

Common sense is necessary in considering a plan for removing the stain of lynchings from the name of this country. T"
houston-informer,1928-03-10,1,8,0.6,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A committee of prominent Negro leaders led by Bishop Archibald J. Carey called on President Calvin Coolidge to contest an appointment pending in congress and urge the government to assume responsibility.,"Washington, D.C.","Bishop Archibald J. Carey (civil service commissioner of Chicago), Dr. William H. C. Clark (president of Pilgrim Baptist Church), attorney Patrick B. Prencott, attorney C. H. Clark",Wednesday afternoon (1928),"very complex""—as to fall flat in its position, and refuse to even make or reversal, is worthy only of red-blooded and courageous texas—not the worn-out, repudiators—will attend this Dallas al to get somewhere in partisan the possibilities of being a ""year politically speaking. Colored calling this statewide conference on and takes this occasion to urge of Negro leaders and citizens at price of time and money and take and plan for the best interests nation.

merely to ourselves, our partisan bric"
new-york-age,1917-08-02,1,1,0.601,thousands of colored citizens marched silently down the avenue in protest,parade,"A silent protest parade down Fifth Avenue in New York organized by colored citizens to register disapproval against murders committed in East St. Louis, Memphis, and Waco.","New York City (Fifth Avenue, from Fifty-seventh street to Twenty-third street)","Approximately 15,000 African American citizens from all walks of life, including ministers of various denominations, West Indian and Haitian Negroes","Saturday (August 4, 1917 based on publication date of August 2, 1917)","In pleading for a real democracy in America, the colored citizens of Great New York showed consistency by forming a most democratic gathering. Members of the race representing all conditions and walks of life paraded. Negroes, colored people and Afro-Americanis all joined in to register disapproval against the murders committed in East St. Louis, Ill, Memphis and Waco. For once the American Negro, West Indian Negro and Haitian worked in unison as black men; even advocates of the various ideas of"
cleveland-gazette,1919-07-05,1,6,0.597,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"A conference where a program of demands was presented addressing lynching, segregation in public services, and discrimination in employment, with speakers from the South calling conditions intolerable and the conference appealing to the American people and Congress for justice.",Birmingham,"H. S. Murphy (secretary of Birmingham branch and resolutions committee), conference delegates, speakers from the South",,"Defense against lynching and burning at the hands of nobles.

equal and unregulated service on railways and Bulkways cars

Equal right to the use of public parks, libraries and other community services for which he is taxed.
An equal chance for a livelihood in public and private employment.
Abolition of color-hyphenation and the substitution of ""straight Americanism.""
This program was presented by H. S. Murphy, secretary of the Birmingham branch of the association and of the resolutions committe"
st-louis-argus,1919-08-01,1,3,0.595,speakers denounced the lynching and called for federal legislation to stop mob rule,strike,Negro employees of Grody hospital in Atlanta went on strike demanding a $5 per week wage increase.,"Atlanta, Georgia","Staff of Negro employees including orderlies, maids, cooks, janitors, and laundry workers at Grody hospital","Monday, July 21, 1919","ATLANTA, Ga. July 21—The entire staff of Negro employees of the Grody hospital went on a strike Monday morning and return to return to work until after Steve R. Johnson the superintendent, promised that he would try to have their wages increase. The Negroes asked that their pay be increased $5 per week. At greatest they are being paid $10 a week for their services and claim they can secure better wages elsewhere. The staff of employees include orderlies, maids, cooks, janitors and laundry worker"
colorado-statesman,1917-08-18,1,2,0.594,a committee of prominent colored citizens called upon the governor to present a petition,parade,"The Negro Silent Protest Parade in Greater New York, where African American representatives presented a petition to the President and Congress demanding federal action against lynching and mob violence.",Greater New York,"Committee of the Negro Silent Protest Parade, representing colored people of Greater New York and Negro people throughout the nation",,"further, that it is especially fitting that we come at this time when the heart of the nation is so deeply touched by the cause of democracy and of humanity.

""We come asking that the President use his great powers to have granted to us some redress for the grievances set forth in our petition, and we come, further, praying that the President may find it in his heart to speak some public word that will give hope and courage to our people, thus using his great personal and moral influence in our "
baltimore-afro-american,1918-08-02,1,2,0.594,rioting broke out when a mob attacked the colored section of the city,demonstration,"Colored people protested against riots and police inaction in quelling the violence, with blame directed at police for failing to stop the mob attacks.",Philadelphia,Colored people; Attorneys J. W. Parks and G. Edward Dickerson representing arrested colored men,1918-08-02,"COLORED MEN DISARMED

As usual, when riots occur, the colored people were disarmed by the officers, while no serious attempt was made to deprive the whites of their weapons.

The homes of a number of residents were set alire. Furniture was hurled into the streets, pictures were torn from the walls and in the streets huge bonfires made of the debris. In some streets not a single house escaped the vengeance of the mob.

Notwithstanding that most of the colored people were disarmed by the

PHILADEL"
washington-tribune,1921-10-01,1,7,0.59,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"A delegation of African American leaders headed by James Weldon Johnson presented a petition with over 50,000 signatures to President Harding demanding pardons for 61 members of the 24th U.S. Infantry convicted in the 1917 Houston riot.","Washington, D.C. (White House)",James Weldon Johnson and other leading colored men and women from the National Association for the Advancement of Colored People,"Wednesday morning, October 1921","---

Circulation Books Open To All

PRICE 5 CENTS

DELEGATION CALL ON THE PRESIDENT

DELEGATION CALL ON THE PRESIDENT

Present to him Petition Bearing Over Fifty Thousand Names

MOVEMENT WIDESPREAD

Petition Widely Circulated by the National Association

A delegation of leading colored men and women, headed by James Weldon Johnson, of New York, secretary of the National Association for the Advancement of Colored people, bearing a petition signed by 50,000 persons, called on President Harding, We"
colorado-statesman,1920-04-24,1,0,0.597,questionnaires sent to presidential aspirants regarding their stance on racial equality,petition,The National Association for the Advancement of Colored People sent a questionnaire to presidential candidates demanding they declare their positions on issues affecting colored people.,,"NAACP, presidential candidates (Harding, Poindexter, and others)",1920-03-12 (date of questionnaire repetition),"THE COLORADO STATESMAN

THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE

RACE COUNTRY PARTY

Presidential Candidates Do not Declare Themselves On Issues Raised by Colored People

VOL. XXVI.

Presidential O
not Declare
On Issues
Colored

The two candidates who replied to the association's questionnaire were Senators Harding and Poindexter, the former stating that it was not consistent with his views to take up the categorical questions asked by the association, that conventions are called upon to e"
richmond-planet,1921-07-23,1,6,0.589,national association made public telegrams sent to governors with reference to lynchings,mass_meeting,The National Association for the Advancement of Colored People held its twelfth annual conference in Detroit where delegates adopted and issued a formal call to the nation demanding action against lynching and mob violence against African Americans.,Detroit,"National Association for the Advancement of Colored People delegates; Harry E. Davis, colored member of the Ohio Legislature",1921 (conference date not specified beyond year),"96 CASES OF TUBERCULOSIS

Richmond, Va., July—The Virginia in Tupperville is association and the State Board of Health report the findings of clinics held in Augusta, Faquier, Nansseond, Prince William and Shenandoah counties, summarized as follows: Total examined for tuberculosis 960, 96 cases were active, 37 were arrested, 140 were suspicious, 33 had diseased tonsils, 92 had decayed teeth and 35 showed effective hearts. Miss Evelyn D. Hill, of Richmond, will be added to the Field Service of th"
colorado-statesman,1921-09-03,1,5,0.59,speakers denounced the lynching and called for federal legislation to stop mob rule,petition,"The Supreme Lodge of Knights of Pythias passed resolutions appealing to President Harding, Congress, state governors, and judges to guarantee equal justice and end lynching, while also calling on citizens to oppose mob violence and the Ku Klux Klan.",London,"Supreme Lodge of Knights of Pythias (North and South America, Europe, Asia, Africa and Australia); Pan-African Congress representatives from the United States, West Indies, Central and South America, and Africa","August 29, 1921","It is not ours to condone crime, apologize for the vicious and brutal, not to protect the criminal, but we are apprehensive of the nation's failure, so long as the crowd is permitted to take the life of any man with impunity. In this condition, no man's life, whether of this or that race, is safe. We love our America, and have proven our loyalty in blood and treasures upon all the nation's battlefields. Whenever or wherever the nation's champions have marched forth, we have been in line, where t"
baltimore-afro-american,1918-08-02,1,3,0.589,protest to the president against riots and lynchings seeking public word of hope,delegation,Five colored ministers representing the Methodist Ministers' Meeting visited City Hall to deliver a letter of protest to Mayor Smith and the Director of Public Safety regarding police failure to protect colored citizens during race riots.,"Philadelphia, City Hall",Five colored ministers representing the Methodist Ministers' Meeting of Philadelphia and Vienna,"1918-08-01 (yesterday, relative to the August 2 publication date)","The riots have caused a wave of protests from the colored people and in a number of these the police are blamed for not quelling the riots. Attorneys J. W. Parks and G. Edward Dickerson are representing a number of the colored men who were arrested by the wholesale. Mr. Dickerson roundly criticised the police for what he claimed was discrimination against the colored people. He publicly charged that the race riot was due to the pacific policy of Assistant Superintendent Mills, who, he said, fail"
baltimore-afro-american,1917-01-06,1,2,0.588,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,Annual meeting of the National Association for the Advancement of Colored People held to discuss anti-lynching efforts and present investigations into lynching cases.,New York,"NAACP leadership including Dr. Joel B. Springgain, Dr. F. N. Cardozo of Baltimore","January 2, 1917","Dr. Ernest Lyon is pastor of the church.

54 LYNCHINGS IN 1916:

Tuskegee, Ala., Jan. 1.—Fifty-four persons were lynched in the United States during 1916, according to records of Tuskegee Institute here, made public today. Fifty of the victims were Negroes and four whites. Included are three Negro women. Sixty-seven persons were lynched in 1916, thirteen of whom were white men. In presenting the report Robert R. Moton, president of the institute, said: Fourteen, or more than one-fourth of the to"
dallas-express,1926-11-06,1,3,0.588,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,The Equal Rights League held a convention in Philadelphia to discuss fighting discrimination against Negro enterprises and addressing racial distinctions in business.,"Philadelphia, Pennsylvania","Delegates from many states, legal attorney from Washington D.C.",November 4 (implied from dateline),"Delegates From Many States Attend Equal Rights Convention in Quaker City

Philadelphia, Pa. *Fv. 4-4*(ANP) legal attorney of Washington, D. C.,飞ighting discrimination in all its Negro enterprises, the idea not to The Equal Rights League held its discussion from every possible angle, form. ""All distinctions as to race conduct a Negro grocery store, as to race conduct a Negro restaurant, as to race conduct a Negro bank.""

THE DALLAS EXPRESS, DALLAS, TEXAS: SATURDAY, NOVEMBER 6, 1920

AMES OF LYNC
"
twin-city-star,1917-08-25,1,0,0.587,first national conference on lynching examining causes and demanding federal action,petition,"Miss Nannie Helen Burroughs presented 16,000 petitions from citizens in thirty-six states to the Rules Committee of the House of Representatives to protest lynching and demand federal legislation against the practice.","Washington, D.C.","Miss Nannie Helen Burroughs (president of the National Training School For Women and Girls), National Association of Colored Women's clubs, citizens from thirty-six states",1917 (specific date of presentation not provided),"MINNEAPOLIS

THE TWIN CITY STAR

VOL. 7. SINGLE COPIES 5 CTS.

MINNEAPOLIS, MINN. AUGUST 25, 1917.

MINNESOTA HISTORICAL SOCIETY

NO. 30.

LYNCH HORRORS POISON NATION They Develop Race Hatred and Contempt of Law.

DENOUNCED BY EDUCATOR

Miss Nannie Burroughs Makes Fiery Protest Against Sacrifice of Victims to Mob Passion—Presents Petitions to Rules Committee of National House of Representatives.

Washington. — Miss Nannie Helen Burroughs, president of the National Training School For Women and G"
colorado-statesman,1917-08-18,1,0,0.588,protest to the president against riots and lynchings seeking public word of hope,parade|delegation,"A delegation of African American leaders, including James Weldon Johnson, presented a petition to President Wilson's secretary protesting riots and lynchings, following a Silent Protest Parade in New York involving 15,000 participants.","Washington, D.C. (White House); New York (Silent Protest Parade)","James Weldon Johnson (NAACP secretary), delegation representing the Negro Silent Protest Parade, 15,000 colored men, women and children","August 1, 1917 (delegation visit); last Saturday before August 1 (New York parade)","MID-HARVEST DANCE, THURSDAY, AUGUST 23RD, FERN HALL

THE COLORADO STATESMAN

THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE

RACE COUNTRY PARTY

PRESIDENT WILSON ASKED TO SPEAK

PROTEST TO THE PRESIDENT AGAINST RIOTS AND LYNCH INGS. ""SOME PUBLIC WORD WANTED,"" THAT WOULD GIVE HOPE AND COURAGE TO THE NEGROES.

VOL. XXIII.

PRESIDENT ASKED

PROTEST TO THE PRESIDENT
INGS. ""SOME PUBLIC WOR
GIVE HOPE AND COUR

The following Special Dispatch
from Washington appeared in
the New York Evening Post of
Augus"
colorado-statesman,1914-02-07,1,6,0.584,a boycott was declared against the stores that refused to serve Negro customers,boycott,"A proposed nationwide boycott of Southern railroads that discriminate against colored passengers, advocated by Ralph W. Tyler and encouraged by prominent Negroes in Washington, D.C.","Southern States, Washington D.C.","Ralph W. Tyler (national organizer of the National Business Men's League), prominent Negroes of Washington D.C., colored people",,"The Retailers are sending out pamphlets to citizens in all parts of the city giving the arguments advanced in behalf of their plan and containing complete copies of the two measures. It is following out its announced policy of making a clean fight in which personalities are taboo and in which appeal is made to reason instead of prejudice. That policy is having its effect and is winning votes by the hundreds.—Adv

BOYCOTT OF SOUTHERN RAILROADS BY NEGROES

BOYCOTT OF SOUTHERN RAILROADS BY NEGROES
"
colorado-statesman,1919-05-10,1,2,0.584,first national conference on lynching examining causes and demanding federal action,mass_meeting,A National Conference on Lynching with a mass meeting at Carnegie Hall called by 120 citizens to organize a nation-wide campaign against lynching.,"Carnegie Hall, New York; also Association of the Bar of the City of New York and New York Society for Ethical Culture","Charles Evans Hughes, Dr. Anna Howard Shaw, Emmet O'Neal, General John H. Sherburne, James Weldon Johnson, and various southern leaders including J. A. Morehead, Bishop William F. McDowell, and Desha Breckinridge","May 5th and May 6th, 1919","""It is apparent that lynchings of Negroes for other causes than the so-called ""one crime"" have for the whole period been a large majority of all

lynchings and that for the past five years less than one in five of the colored victims have been accused of rape or ""attacks upon women.""

CHARLES EVANS HUGHES TO SPEAK AT FIRST NATIONAL CONFERENCE ON LYNCHING,

Plans for the first National Conference on Lynching, called by 120 citizens in all parts of the country, which is to begin with a mass meetin"
nashville-globe,1909-06-04,1,3,0.582,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,A National Negro Conference was held in New York City where speakers including Mrs. Ida Wells-Barnett addressed issues of lynching and Negro disfranchisement.,New York City,Mrs. Ida Wells-Barnett and other conference attendees,"A few days before June 4, 1909","Inherent racial inferiority was declared by Bishop Alexander Walters, of New York, to be a fallacy. Inequality of opportunity and environ-

Dr. Pius and His Workers Hard at It.

Just as predicted is enthusiasm and much interest in the approaching Sunday-School Congress. The very first call for volunteer singers brought more than one hundred representing a majority of the churches in the city. They met at Mount Olive Baptist Church, Monday night, all eager and anxious to put on the finishing touc"
richmond-planet,1918-07-27,1,3,0.583,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,"A National Colored Liberty Congress held in Washington, D.C. where delegates from across the country gathered to present grievances to Congress and demand redress for injustices against African Americans.","Washington, D.C.",115 delegates from approximately 30 states across the nation,"July 21-29, 1918","July 21st to 29th, 1918, are now historic dates in Colored American history. They mark the approach of Colored Americans to their federal government in behalf of justice and power for their racial group. They right days with a Sabbath day in between, witnessed the gathering together in the nation's capital of delegates from all sections of the country in the midst of a world's war to complete and present to the federal Congress a statement of the grievous wrongs visited upon their race and a dem"
richmond-planet,1924-02-09,1,0,0.581,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"NAACP delegation presented a petition with 120,000 signatures to President Coolidge requesting pardon for 24th Infantry soldiers convicted in the 1917 Houston riot.","The White House, Washington","NAACP representatives including James Weldon Johnson (Secretary), delegation representing 120,000 petition signers","February 7, 1924","This may be our last battle. We believe that it is the beginning of our final triumph.

MAY 17, 1923

JOHN MITCHELL, JR

Virginia State Library.

THE RICHMOND PLANET

President Coolidge Receives a Monster Petition For Pardon of Houston Martyrs

N. A. A. C. P. Presents 120,000 Signers For Clemency to 29th Infantrymen who were Convicted in 1917 For Participation in Houston Riot James Weldon Johnson Spokesman for Representative Committee

VOLUME XLI, NO.12

President
Receive
Petition
of Ho
N. A. A."
denver-star,1917-08-04,1,5,0.578,appeal to colored people to come together and march forward for justice,mass_meeting,Call for the tenth annual convention of the National Equal Rights League and second National Congress of All Colored Americans to convene in September in response to racial violence and discrimination.,"September convention location not specified; text references East St. Louis, Illinois as site of recent racial violence",National Equal Rights League members and colored Americans generally,"September 1917 (convention date); August 4, 1917 (publication date of call)","Therefore, by the authority vested in me as president of the National Equal Rights League, I do hereby issue this call for the tenth annual convention of said League, and also for the second National Congress of All Colored Americans to convene in September.

There are no words in any language that can adequate-portray the increasingly appalling humiliation to which we Colored Americans are being daily subjected in certain prejudiced-cursed sections of this country.

The party in power has its i"
richmond-planet,1918-11-30,1,0,0.578,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,"An assembly of colored citizens at Tremont Temple passed a resolution appealing to President Wilson for a commission on the color question, and petitioned for laws against lynching and military discrimination.","Tremont Temple, Boston",Assembly of colored citizens,"November 15, 1918","TIME IS FLEETING—KEEP POSTED

VOLUME XXXVI NUMBER 3

RICHMOND, VIRGINIA SATURDAY NOVEMBER 30, 1918

PRICE: FIVE CENTS

PLAN URGED TO VOTE THE COLORED MAN IN THE SOUTH

Republicans Threaten A Cut In Congress Members.

Washington, Nov. 19. — The practice long in vogue in the South of parceling out Congress districts on the basis of population and then permitting only white men to vote is to be attacked by the Republicans the minute they assume control of the next Congress. A measure will be introd"
